"","period","age_grp","race","gender","count","pop","main.vs.sa"
"434",9,13,"Black","Male",443,207015,"main"
"435",9,14,"Black","Male",381,137847,"main"
"436",10,10,"Black","Male",501,590191,"main"
"437",10,11,"Black","Male",530,523330,"main"
"438",10,12,"Black","Male",558,400717,"main"
"439",10,13,"Black","Male",594,283325,"main"
"440",10,14,"Black","Male",387,177955,"main"
"441",3,10,"White","Male",1385,2347321,"main"
"442",3,11,"White","Male",2394,2244532,"main"
"443",3,12,"White","Male",3248,1884225,"main"
"444",3,13,"White","Male",3907,1456057,"main"
"445",3,14,"White","Male",3960,1042417,"main"
"446",4,10,"White","Male",1312,2141703,"main"
"447",4,11,"White","Male",2405,2153013,"main"
"448",4,12,"White","Male",3746,1982610,"main"
"449",4,13,"White","Male",4553,1608856,"main"
"450",4,14,"White","Male",4643,1177345,"main"
"451",5,10,"White","Male",1159,2157597,"main"
"452",5,11,"White","Male",2163,1983663,"main"
"453",5,12,"White","Male",3447,1927510,"main"
"454",5,13,"White","Male",4623,1712834,"main"
"455",5,14,"White","Male",4970,1301256,"main"
"456",6,10,"White","Male",1364,2578869,"main"
"457",6,11,"White","Male",2006,2043927,"main"
"458",6,12,"White","Male",2923,1815671,"main"
"459",6,13,"White","Male",4311,1681037,"main"
"460",6,14,"White","Male",4727,1427847,"main"
"461",7,10,"White","Male",1773,3282266,"main"
"462",7,11,"White","Male",2371,2434062,"main"
"463",7,12,"White","Male",2938,1847904,"main"
"464",7,13,"White","Male",3812,1580415,"main"
"465",7,14,"White","Male",4575,1419895,"main"
"466",8,10,"White","Male",2184,3653167,"main"
"467",8,11,"White","Male",2641,3082736,"main"
"468",8,12,"White","Male",2938,2211816,"main"
"469",8,13,"White","Male",3316,1629261,"main"
"470",8,14,"White","Male",3787,1359455,"main"
"471",9,10,"White","Male",2385,3962267,"main"
"472",9,11,"White","Male",2618,3496936,"main"
"473",9,12,"White","Male",3097,2879015,"main"
"474",9,13,"White","Male",3156,2017078,"main"
"475",9,14,"White","Male",3117,1433009,"main"
"476",10,10,"White","Male",2567,3929129,"main"
"477",10,11,"White","Male",2752,3805855,"main"
"478",10,12,"White","Male",3155,3286428,"main"
"479",10,13,"White","Male",3367,2631694,"main"
"480",10,14,"White","Male",2951,1786577,"main"
"481",3,10,"Black","Female",164,241910,"sa"
"482",3,11,"Black","Female",214,221664,"sa"
"483",3,12,"Black","Female",244,184050,"sa"
"484",3,13,"Black","Female",269,154746,"sa"
"485",3,14,"Black","Female",264,107088,"sa"
"486",4,10,"Black","Female",139,238812,"sa"
"487",4,11,"Black","Female",232,228233,"sa"
"488",4,12,"Black","Female",305,202048,"sa"
"489",4,13,"Black","Female",386,175527,"sa"
"490",4,14,"Black","Female",361,131281,"sa"
"491",5,10,"Black","Female",167,252814,"sa"
"492",5,11,"Black","Female",238,227218,"sa"
"493",5,12,"Black","Female",322,214591,"sa"
"494",5,13,"Black","Female",424,193939,"sa"
"495",5,14,"Black","Female",415,147887,"sa"
"496",6,10,"Black","Female",294,452777,"sa"
"497",6,11,"Black","Female",348,361469,"sa"
"498",6,12,"Black","Female",440,315822,"sa"
"499",6,13,"Black","Female",539,288358,"sa"
"500",6,14,"Black","Female",650,235601,"sa"
"501",7,10,"Black","Female",578,897843,"sa"
"502",7,11,"Black","Female",675,642495,"sa"
"503",7,12,"Black","Female",750,515747,"sa"
"504",7,13,"Black","Female",913,437116,"sa"
"505",7,14,"Black","Female",932,365262,"sa"
"506",8,10,"Black","Female",1216,1590963,"sa"
"507",8,11,"Black","Female",1177,1233877,"sa"
"508",8,12,"Black","Female",1270,890337,"sa"
"509",8,13,"Black","Female",1369,710440,"sa"
"510",8,14,"Black","Female",1385,574635,"sa"
"511",9,10,"Black","Female",1372,1860663,"sa"
"512",9,11,"Black","Female",1344,1547533,"sa"
"513",9,12,"Black","Female",1428,1174398,"sa"
"514",9,13,"Black","Female",1372,834334,"sa"
"515",9,14,"Black","Female",1284,631092,"sa"
"516",10,10,"Black","Female",1468,1984966,"sa"
"517",10,11,"Black","Female",1394,1803414,"sa"
"518",10,12,"Black","Female",1487,1471160,"sa"
"519",10,13,"Black","Female",1515,1102977,"sa"
"520",10,14,"Black","Female",1258,756389,"sa"
"521",3,10,"White","Female",1293,2453440,"sa"
"522",3,11,"White","Female",1984,2421670,"sa"
"523",3,12,"White","Female",2750,2097651,"sa"
"524",3,13,"White","Female",3358,1800771,"sa"
"525",3,14,"White","Female",3873,1455112,"sa"
"526",4,10,"White","Female",1104,2203908,"sa"
"527",4,11,"White","Female",1956,2308366,"sa"
"528",4,12,"White","Female",2775,2203959,"sa"
"529",4,13,"White","Female",3709,1952058,"sa"
"530",4,14,"White","Female",4261,1611593,"sa"
"531",5,10,"White","Female",969,2202565,"sa"
"532",5,11,"White","Female",1522,2081114,"sa"
"533",5,12,"White","Female",2475,2131362,"sa"
"534",5,13,"White","Female",3454,2057855,"sa"
"535",5,14,"White","Female",4189,1726986,"sa"
"536",6,10,"White","Female",1297,3622772,"sa"
"537",6,11,"White","Female",1944,2920693,"sa"
"538",6,12,"White","Female",2845,2692992,"sa"
"539",6,13,"White","Female",4250,2717038,"sa"
"540",6,14,"White","Female",5570,2505973,"sa"
"541",7,10,"White","Female",2716,6686232,"sa"
"542",7,11,"White","Female",3271,5061145,"sa"
"543",7,12,"White","Female",4254,4020431,"sa"
"544",7,13,"White","Female",5695,3634402,"sa"
"545",7,14,"White","Female",7655,3554032,"sa"
"546",8,10,"White","Female",4791,10668965,"sa"
"547",8,11,"White","Female",5659,9233497,"sa"
"548",8,12,"White","Female",6277,6940235,"sa"
"549",8,13,"White","Female",7832,5536847,"sa"
"550",8,14,"White","Female",9394,4955800,"sa"
"551",9,10,"White","Female",5553,11677083,"sa"
"552",9,11,"White","Female",5837,10372616,"sa"
"553",9,12,"White","Female",6750,8807737,"sa"
"554",9,13,"White","Female",7502,6553259,"sa"
"555",9,14,"White","Female",8193,5069162,"sa"
"556",10,10,"White","Female",5985,11717795,"sa"
"557",10,11,"White","Female",6234,11341229,"sa"
"558",10,12,"White","Female",7007,9927052,"sa"
"559",10,13,"White","Female",8117,8315123,"sa"
"560",10,14,"White","Female",7709,6050226,"sa"
"561",3,10,"Black","Male",142,208115,"sa"
"562",3,11,"Black","Male",235,193334,"sa"
"563",3,12,"Black","Male",266,152799,"sa"
"564",3,13,"Black","Male",249,121990,"sa"
"565",3,14,"Black","Male",275,78605,"sa"
"566",4,10,"Black","Male",134,204832,"sa"
"567",4,11,"Black","Male",231,195031,"sa"
"568",4,12,"Black","Male",342,162962,"sa"
"569",4,13,"Black","Male",347,134861,"sa"
"570",4,14,"Black","Male",307,90918,"sa"
"571",5,10,"Black","Male",164,216004,"sa"
"572",5,11,"Black","Male",236,187688,"sa"
"573",5,12,"Black","Male",330,170215,"sa"
"574",5,13,"Black","Male",422,146671,"sa"
"575",5,14,"Black","Male",372,101131,"sa"
"576",6,10,"Black","Male",294,387014,"sa"
"577",6,11,"Black","Male",369,300943,"sa"
"578",6,12,"Black","Male",494,255692,"sa"
"579",6,13,"Black","Male",617,220255,"sa"
"580",6,14,"Black","Male",564,159647,"sa"
"581",7,10,"Black","Male",600,765336,"sa"
"582",7,11,"Black","Male",694,537068,"sa"
"583",7,12,"Black","Male",883,417685,"sa"
